Name,Origin,Starting Affiliation,End of S1,End of S2,End of S3,End of S4,End of S5,End of S6,End of S7,Episodes
Lordsport Dockhand,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Bolton Soldier,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,1
Vance Corbray,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North",1
Valyrian Slave,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Deceased,Deceased,Deceased,1
Axell Florent,House Tyrell,King Robert Baratheon,King Renly Baratheon,King Stannis Baratheon,King Stannis Baratheon,Deceased,Deceased,Deceased,Deceased,1
Great Master #6,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
Khal Forzho,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Deceased,Deceased,1
Little Bird,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Knight of House Lynderly,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North",1
Mirelle,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Sorcerer,Essos,"Other, Essos","Other, Essos","Other, Essos",Deceased,Deceased,Deceased,Deceased,Deceased,1
Unsullied,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Lord Blackmont,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros",1
Great Master #7,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
Faith Militant #1,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",High Sparrow,Deceased,Deceased,1
Stevron Frey,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Deceased,1
Eon Hunter,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North","Jon Snow, King in the North",1
Gerald,House Baratheon,King Robert Baratheon,King Renly Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Boat Commander,Essos,"Other, Essos","Other, Essos",King Stannis Baratheon,"Other, Essos",King Stannis Baratheon,"Other, Essos","Other, Essos","Other, Essos",1
Musician #1,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Kegs,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,1
Derek,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Lollys Stokeworth,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Faith Militant #2,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",High Sparrow,Deceased,Deceased,1
Ryger Rivers,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Deceased,1
Colen of Greenpools,House Baratheon,King Robert Baratheon,King Renly Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Wounded Lannister,House Lannister,King Robert Baratheon,King Joffrey Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Margaery's Handmaiden,House Tyrell,King Robert Baratheon,King Renly Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,1
Musician #2,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Black Jack Bulwer,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,1
Ser Endrew Tarth,House Baratheon,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Craster's Wife #2,Wildlings,Wildlings,Wildlings,Wildlings,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Brant,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Second Son,Essos,"Other, Essos","Other, Essos","Other, Essos",Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Poisoned Frey,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Deceased,1
Musician #3,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Craster's Wife #3,Wildlings,Wildlings,Wildlings,Wildlings,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Mully,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,1
Frey Lord,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Deceased,1
Reginald Lannister,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Violet,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,Deceased,Deceased,1
Warlock,Essos,Qarth,Qarth,Qarth,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",1
Wight,Wildlings,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,1
Little Bird,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Clea,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",1
Brusco,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",1
Iggo,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Deceased,Deceased,1
Sick Maester,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Unsullied,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Denys Mallister,House Tully,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Khal Brozho,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Deceased,Deceased,1
Jonos Bracken,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",1
Desmond Crakehall,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Guymon,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,Deceased,Deceased,1
Khal Rhalko,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Deceased,Deceased,1
Lannister Torturer,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Yunkai'i Slave #1,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Deceased,Deceased,Deceased,1
Olly's Mother,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,Deceased,Deceased,1
Septa Moelle,Westeros,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,High Sparrow,Deceased,Deceased,1
White Rat,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Deceased,Deceased,Deceased,1
Anara,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",1
Citadel Maester,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Khal Qorro,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Deceased,Deceased,1
Addam Marbrand,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Vayon Poole,House Stark,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Yunkai'i Slave #2,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Deceased,Deceased,Deceased,1
Bolton Soldier,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,1
Strong Sam Stone,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North",1
Septa Scolera,Westeros,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,High Sparrow,Deceased,Deceased,1
Mallister Supporter,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Brea,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",1
Masha Heddle,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Night's Watch Messenger,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Craster's Wife,Wildlings,Wildlings,Wildlings,Wildlings,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Yunkai'i Slave #3,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Eyrie Guard,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North","Jon Snow, King in the North",1
Yunkai'i Slave #4,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Craster's Younger Wife,Wildlings,Wildlings,Wildlings,Wildlings,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Aya,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",1
Bolton Officer,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,1
Rhaego,Essos,Other Dothraki,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Yunkai'i Slave #5,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Maester Helliweg,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North",1
Bolton Soldier,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,1
Genna,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Son of the Harpy,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Sons of the Harpy,Sons of the Harpy,Deceased,Deceased,1
Maester Caleotte,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,1
Chella,Westeros,"Other, Westeros",King Joffrey Baratheon,King Joffrey Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Wyman Manderly,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North","Jon Snow, King in the North","Jon Snow, King in the North",1
Lord Portan,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North","Jon Snow, King in the North","Jon Snow, King in the North",1
Simpson,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,Deceased,Deceased,Deceased,1
Cley Cerwyn,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North","Jon Snow, King in the North","Jon Snow, King in the North",1
Tortured Slave,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Deceased,Deceased,Deceased,1
Dothraki Man Having Sex,Essos,Khal Drogo,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,1
Great Master #2,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
Meereen Slave,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Night's Watch Officer / ... (uncredited) 1,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Night's Watch / ... (uncredited) 1,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Brotherhood Member (uncredited),Westeros,"Other, Westeros",Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,"Jon Snow, King in the North",1
Craster's Wife / ... (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Slaver / ... (uncredited),Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
Lord Galbart Glover (uncredited),House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,1
Mikken (uncredited),House Stark,King Robert Baratheon,"Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Frey Wedding Guest / ... (uncredited),House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,1
Frey Wedding Guest / ... (uncredited),House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,1
Night's Watch (uncredited),Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Dothraki Rider / ... (uncredited),Essos,Khal Drogo,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Mole's Town Whore (uncredited),Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,Deceased,Deceased,1
Burning Lannister / ... (uncredited),House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Deceased,1
Wildling (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Jon Snow, King in the North","Jon Snow, King in the North",1
Bolton Infantry (uncredited),House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,1
Glover General (uncredited),House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",1
Captured Wight (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,White Walkers,White Walkers,White Walkers,1
Mago (uncredited),Essos,Khal Drogo,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Wight (uncredited),Wildlings,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,1
Weasel (uncredited),House Stark,King Robert Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Craster's Daughter (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Marianne Frey (uncredited),House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Hoster Tully (uncredited),House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,1
Khaleesi Handmaiden #1 (uncredited),Essos,Khal Drogo,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Dothraki (uncredited),Essos,Khal Drogo,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Cooper (uncredited),Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,1
Frey Serving Boy (uncredited),House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Donnel Hill (uncredited),Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,1
Wildling (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Jon Snow, King in the North","Jon Snow, King in the North",1
Wildling Archer (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Jon Snow, King in the North","Jon Snow, King in the North",1
Wight (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,White Walkers,White Walkers,White Walkers,1
Wildling (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Jon Snow, King in the North","Jon Snow, King in the North",1
Pit Fighter (uncredited),Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Deceased,Deceased,Deceased,1
Wilding Gladiator (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Jon Snow, King in the North","Jon Snow, King in the North",1
Wildling (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,1
Wildling Archer (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,1
Wight (uncredited),Wildlings,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,1
Wildling (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,1
Child of the Forest #1 (uncredited),Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,1
Child of the Forest #2 (uncredited),Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,1
Frey Daughter (uncredited),House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Child of the Forest #3 (uncredited),Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,1
Dothraki Rider (uncredited),Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,1
Wildling (uncredited),Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,1
Night's Watch (uncredited),Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,1
Tyrell guard (uncredited),House Tyrell,King Robert Baratheon,King Renly Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Daenerys Targaryen,Deceased,1
Lannister Map Painter (uncredited),House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Deceased,1
Lannister Spearman (uncredited),House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Drogon,Essos,"Other, Essos",Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,25
Rhaegal,Essos,"Other, Essos",Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,19
Viserion,Essos,"Other, Essos",Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,White Walkers,21
Ghost,Westeros,"Other, Westeros",Night's Watch,Night's Watch,Night's Watch,Night's Watch,"Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",20
Grey Wind,Westeros,"Other, Westeros","Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,8
Lady,Westeros,"Other, Westeros",Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Nymeria,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",3
Summer,Westeros,"Other, Westeros","Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,15
Shaggydog,Westeros,"Other, Westeros","Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,8
